ID,Title,Location,Salary,Summary
8fd83c6a728843c0,Data Scientist/Data Engineering 경력사원 공고,LG전자 3.8 서울특별시,,"Text Analytics, 머신러닝/딥러닝 알고리즘 ② 데이터 추출, 가공, 정제 : 상용 ETL 솔루션, Python/R 등을 활용한 데이터 전/후처리 ③ Business Intelligence 시스템 구축 ④ 퍼블릭..."
ff0d9391b85840fe,(주)바이오니아 2021년도 바이오인포메틱스 부문,바이오니아 대전 대덕구,,"자격요건] -. Bioinformatics 및 관련 분야 전공 -. 생물정보 분석 경험자 및 프로그래밍 가능자( python, perl, R, Java, c++) -. 생물학 관련 DB 활용 가능자(NCBI, Ensembl..."
3202bf1a79e70cb2,Data Scientist,Motion2AI 서울,,"thinking to define unstructured problems - Experience with Python (pandas, numpy), R, SQL... VBA to deal... large..."
97b032faeb4b1bd1,연구소 개발부문 연구원 직원 (회로설계/하드웨어설계/머신비전/이미지프로세...,모든 경기도 광명,,"프로그래밍 가능자 우대 S/W 설계 부문 : - OPEN CV, TENSORFLOW, YOLO, CUDA/ Python, C++, C WindowsGUL APL, MFC Lib 활용 가능자. 머신비전/ 영상처리 개발자 * 전기..."
2bafb73f26c69508,[TmaxBI/기술] 빅데이터 플랫폼 QA,티맥스소프트 성남 분당구,,"갖춘자 - ERP/CRM 역량 보유자 - 데이터분석/모델링 역량 보유자 우대사항 - 보유기술: Java, python, RDB, NoSQL, OS(linux), Selenium, docker, Kubernetis - 자격사항..."
b102b3d8f193a4c1,2021 GEDP (Global Engineering Developmen...,GE Appliances 경기도 성남,,using C programming language Scripting languages like Lua/ Python/JavaScript may also be used if needed Support connected...
c52b13ca64b943c1,솔루션 엔지니어 (Network Infra),글로벌 네트워크 회사 서울 강남구,,"OpenShipft, Kubernetes, Microsoft Service) * Programming ( Python, JavaScript, Golang etc.) 근무 형태: 정규직 급여: 80,000,000원 - 120..."
233bbfd9781e846d,"Engr, Tech Supp 3",KLA-Tencor 대한민국,,background Excel macro/code development for log analysis Python Database development for production Open to NCG (New College...
9acc17c535b42959,2021년 (신입) 전문연구요원 모집,NHN 4.4 성남 판교역,,"구사 (C++, Java, Python 등) - Openstack 및... 모델링 기법을 활용한 서비스 개발 경험자 우대 - C/C++, Python 등 개발 숙련자 우대 공통지원자격(필수) - 해당 분야 석사 이상..."
44c01463235ebade,[전문연구요원] 빅데이터 엔지니어(신입/경력),웹젠 성남 분당구,,통합 과정 수료자 포함)로서 전문연구요원 신규편입/전직 대상인 분 - Python 또는 C# 프로그래밍 능력을 보유한 분 - Linux 환경에서 개발... 요원 신규편입/전직 대상인 분 - Python 또는 C# 프로그래밍 능력을...
ID,Title,Location,Salary,Summary
